cacheResGraphics,graphicID
cacheResIcons,iconID
cacheResSounds,soundID
cacheInvCategories,categoryID
cacheInvGroups,groupID
cacheInvTypes,typeID
cacheInvMetaGroups,metaGroupID
cacheInvBlueprintTypes,blueprintTypeID
cacheInvTypeReactions,reactionTypeID
cacheShipTypes,shipTypeID
cacheDogmaAttributes,attributeID
cacheDogmaEffects,effectID
cacheDogmaTypeAttributes,typeID
cacheDogmaTypeEffects,typeID
cacheDogmaExpressions,expressionID
cacheDogmaUnits,unitID
cacheRamAssemblyLineTypes,assemblyLineTypeID
cacheRamActivities,activityID
cacheRamCompletedStatuses,completedStatus
cacheRamAssemblyLineTypesCategory,assemblyLineTypeID
cacheRamAssemblyLineTypesGroup,assemblyLineTypeID
cacheActBillTypes,billTypeID
cacheCertificates,certificateID
cacheCertificateRelationships,relationshipID
cachePlanetSchematics,schematicID
cacheRamTypeRequirements,typeID
cacheInvTypeMaterials,typeID
cacheChrFactions,factionID
cacheCrpNpcCorporations,corporationID
cacheCrpTickerNamesStatic,corporationID
cacheStaOperations,operationID
cacheMapCelestialDescriptions,itemID
cacheMapLocationWormholeClasses,locationID
cacheMapRegionsTable,regionID
cacheMapConstellationsTable,constellationID
cacheMapSolarSystemsTable,solarSystemID
cacheStaStationsStatic,stationID
cacheMapNebulas,locationID
