#HQF Implant Mapping Table,,,,,,,,,,
#Affecting Attribute,Affecting Type,Affecting ID,Affected Attribute,Affected Type,Affected ID,Calc Type,State,IsGang,Group,Implant Name
1083,1,21606,265,3,6,0,0,0,Armor,Akemon's Modified 'Noble' ZET5000
1083,1,13209,265,3,6,0,0,1,Armor,Armored Warfare Mindlink
884,1,13209,833,1,20069;20409;22227,0,0,1,Gang,Armored Warfare Mindlink
548,1,20121,68,2,40,0,0,0,Shield;Learning,Crystal Alpha
548,1,20157,68,2,40,0,0,0,Shield;Learning,Crystal Beta
548,1,20159,68,2,40,0,0,0,Shield;Learning,Crystal Delta
548,1,20160,68,2,40,0,0,0,Shield;Learning,Crystal Epsilon
548,1,20158,68,2,40,0,0,0,Shield;Learning,Crystal Gamma
#,1,20161,,,,,0,0,Science,#Crystal Omega
#,1,,,,,,0,0,Learning,#Cybernetic Subprocessor - Advanced
#,1,,,,,,0,0,Learning,#Cybernetic Subprocessor - Basic
#,1,,,,,,0,0,Learning,#Cybernetic Subprocessor - Elite
#,1,,,,,,0,0,Learning,#Cybernetic Subprocessor - Improved
#,1,,,,,,0,0,Learning,#Cybernetic Subprocessor - Standard
554,1,20498,552,3,6,0,0,0,Electronics;Learning,Halo Alpha
554,1,20500,552,3,6,0,0,0,Electronics;Learning,Halo Beta
554,1,20502,552,3,6,0,0,0,Electronics;Learning,Halo Delta
554,1,20504,552,3,6,0,0,0,Electronics;Learning,Halo Epsilon
554,1,20506,552,3,6,0,0,0,Electronics;Learning,Halo Gamma
#,1,20508,,,,,0,0,Science,#Halo Omega
767,1,27075,160,2,53;55;74,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' AX-0
767,1,9957,160,2,53;55;74,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' AX-1
767,1,19686,160,2,53;55;74,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' AX-2
292,1,27081,10014;10015;10016,2,53;55;74,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' CX-0
292,1,13244,10014;10015;10016,2,53;55;74,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' CX-1
292,1,19687,10014;10015;10016,2,53;55;74,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' CX-2
292,1,27090,10016,4,576;579,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' LX-0
292,1,13219,10016,4,576;579,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' LX-1
292,1,19688,10016,4,576;579,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' LX-2
292,1,27087,10016,4,575;578,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' MX-0
292,1,13222,10016,4,575;578,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' MX-1
292,1,19689,10016,4,575;578,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' MX-2
292,1,27084,10016,4,574;577,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' SX-0
292,1,13225,10016,4,574;577,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' SX-1
292,1,19690,10016,4,574;577,0,0,0,Gunnery,Hardwiring - Eifyr and Co 'Gunslinger' SX-2
#,1,27147,,,,,0,0,Shield,#Hardwiring - Eifyr and Co. 'Alchemist' WA-1
#,1,27148,,,,,0,0,Shield,#Hardwiring - Eifyr and Co. 'Alchemist' WA-2
#,1,25547,,,,,0,0,Science,#Hardwiring - Eifyr and Co. 'Alchemist' XA-1
#,1,25548,,,,,0,0,Science,#Hardwiring - Eifyr and Co. 'Alchemist' XA-2
#,1,25545,,,,,0,0,Science,#Hardwiring - Eifyr and Co. 'Alchemist' YA-1
#,1,25546,,,,,0,0,Science,#Hardwiring - Eifyr and Co. 'Alchemist' YA-2
66,1,27240,73,2,737,0,0,0,Industry,Hardwiring - Eifyr and Co. 'Alchemist' ZA-0
66,1,27238,73,2,737,0,0,0,Industry,Hardwiring - Eifyr and Co. 'Alchemist' ZA-1
66,1,27239,73,2,737,0,0,0,Industry,Hardwiring - Eifyr and Co. 'Alchemist' ZA-2
151,1,27099,70,3,6,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' AY-0
151,1,13240,70,3,6,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' AY-1
151,1,16004,70,3,6,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' AY-2
1076,1,27097,37,3,6,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' CY-0
1076,1,13237,37,3,6,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' CY-1
1076,1,16003,37,3,6,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' CY-2
317,1,27098,6,4,542,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' DY-0
317,1,13238,6,4,542,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' DY-1
317,1,16005,6,4,542,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' DY-2
66,1,27111,73,4,542,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' EY-0
66,1,13239,73,4,542,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' EY-1
66,1,27110,73,4,542,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' EY-2
319,1,27113,153,3,6,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' FY-0
319,1,13241,153,3,6,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' FY-1
319,1,27112,153,3,6,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' FY-2
216,1,27100,6,4,131,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' GY-0
216,1,13243,6,4,131,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' GY-1
216,1,16006,6,4,131,0,0,0,Navigation,Hardwiring - Eifyr and Co. 'Rogue' GY-2
